dataset_id,dataset,domain,information_gain,decision_gain,infrastructure_gain,infrastructure_subsystem_count,subsystems,replay_gain,engineering_cost,maintenance_cost,cost_status,annual_cost_inr,confidence,overall_roi,priority_index,production_influence,replay_cagr,replay_drawdown,replay_sharpe,replay_opportunity_capture,replay_candidate_recall,replay_approval_recall
earnings_dates,Earnings Dates,EARNINGS,81,48,46,4,FEATURE_ATTRIBUTION|GATE_TRUTH|STRATEGY_LAB|LEARNING,MEDIUM,MEDIUM,MEDIUM,BUNDLED,UNKNOWN,INSUFFICIENT,UNKNOWN,UNKNOWN,false,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,MEDIUM
earnings_revisions,Earnings Revisions,EARNINGS,67,48,46,4,FEATURE_ATTRIBUTION|GATE_TRUTH|STRATEGY_LAB|LEARNING,MEDIUM,MEDIUM,MEDIUM,BUNDLED,UNKNOWN,INSUFFICIENT,UNKNOWN,UNKNOWN,false,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,MEDIUM
earnings_surprises,Earnings Surprises,EARNINGS,67,48,46,4,FEATURE_ATTRIBUTION|GATE_TRUTH|STRATEGY_LAB|LEARNING,MEDIUM,MEDIUM,MEDIUM,BUNDLED,UNKNOWN,INSUFFICIENT,UNKNOWN,UNKNOWN,false,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,MEDIUM
fii_holdings,FII Holdings,OWNERSHIP,86,48,46,4,FEATURE_ATTRIBUTION|GATE_TRUTH|MARKET_DNA|LEARNING,MEDIUM,MEDIUM,MEDIUM,BUNDLED,UNKNOWN,INSUFFICIENT,UNKNOWN,UNKNOWN,false,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,MEDIUM
historical_index_membership,Historical Index Membership,INDEX,95,80,76,6,POINT_IN_TIME_UNIVERSE|REPLAY|FEATURE_ATTRIBUTION|MARKET_REGIME|PORTFOLIO|MARKET_OPPORTUNITY,HIGH,HIGH,MEDIUM,QUOTE_REQUIRED,UNKNOWN,INSUFFICIENT,UNKNOWN,UNKNOWN,false,MEDIUM,UNKNOWN,MEDIUM,HIGH,HIGH,UNKNOWN
historical_index_ohlc,Historical Index OHLC,INDEX,86,80,54,5,REPLAY|FEATURE_ATTRIBUTION|MARKET_REGIME|PORTFOLIO|STRATEGY_LAB,HIGH,MEDIUM,MEDIUM,QUOTE_REQUIRED,UNKNOWN,INSUFFICIENT,UNKNOWN,UNKNOWN,false,MEDIUM,MEDIUM,HIGH,UNKNOWN,UNKNOWN,MEDIUM
historical_sector_membership,Historical Sector Membership,INDEX,95,73,54,5,POINT_IN_TIME_UNIVERSE|FEATURE_ATTRIBUTION|MARKET_REGIME|PORTFOLIO|MARKET_DNA,MEDIUM,HIGH,MEDIUM,QUOTE_REQUIRED,UNKNOWN,INSUFFICIENT,UNKNOWN,UNKNOWN,false,UNKNOWN,MEDIUM,MEDIUM,UNKNOWN,UNKNOWN,MEDIUM
india_vix,India VIX,MARKET_CONTEXT,71,42,39,4,MARKET_REGIME|GATE_TRUTH|PORTFOLIO|STRATEGY_LAB,MEDIUM,LOW,LOW,NO_LICENSE_FEE_IDENTIFIED,0,MEDIUM,LOW,38,false,UNKNOWN,MEDIUM,MEDIUM,UNKNOWN,UNKNOWN,UNKNOWN
isin_history,ISIN History,IDENTITY,95,73,53,4,POINT_IN_TIME_UNIVERSE|REPLAY|MARKET_OPPORTUNITY|DATA_PLATFORM,HIGH,MEDIUM,MEDIUM,BUNDLED,UNKNOWN,INSUFFICIENT,UNKNOWN,UNKNOWN,false,MEDIUM,UNKNOWN,UNKNOWN,HIGH,HIGH,UNKNOWN
listing_history,Listing History,IDENTITY,95,73,53,4,POINT_IN_TIME_UNIVERSE|REPLAY|MARKET_OPPORTUNITY|DATA_PLATFORM,HIGH,MEDIUM,MEDIUM,BUNDLED,UNKNOWN,INSUFFICIENT,UNKNOWN,UNKNOWN,false,MEDIUM,UNKNOWN,UNKNOWN,HIGH,HIGH,UNKNOWN
market_breadth,Market Breadth,MARKET_CONTEXT,81,80,62,6,MARKET_REGIME|FEATURE_ATTRIBUTION|GATE_TRUTH|CANDIDATE_GENERATION|PORTFOLIO|STRATEGY_LAB,MEDIUM,MEDIUM,MEDIUM,NO_LICENSE_FEE_IDENTIFIED,0,MEDIUM,MEDIUM,48,false,UNKNOWN,MEDIUM,MEDIUM,UNKNOWN,UNKNOWN,MEDIUM
mergers,Mergers,CORPORATE_ACTION,100,73,46,4,REPLAY|FEATURE_ATTRIBUTION|PERFORMANCE|LEARNING,HIGH,MEDIUM,MEDIUM,BUNDLED,UNKNOWN,INSUFFICIENT,UNKNOWN,UNKNOWN,false,HIGH,MEDIUM,MEDIUM,UNKNOWN,UNKNOWN,UNKNOWN
mutual_fund_holdings,Mutual Fund Holdings,OWNERSHIP,86,48,46,4,FEATURE_ATTRIBUTION|GATE_TRUTH|MARKET_DNA|LEARNING,MEDIUM,MEDIUM,MEDIUM,BUNDLED,UNKNOWN,INSUFFICIENT,UNKNOWN,UNKNOWN,false,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,MEDIUM
official_bse_daily_history,Official BSE Daily History,MARKET_DATA,85,42,38,3,REPLAY|MARKET_OPPORTUNITY|DATA_PLATFORM,MEDIUM,MEDIUM,MEDIUM,PUBLISHED,120000,HIGH,LOW,18,false,LOW,LOW,UNKNOWN,MEDIUM,MEDIUM,UNKNOWN
official_nse_daily_history,Official NSE Daily History,MARKET_DATA,94,80,100,9,REPLAY|FEATURE_ATTRIBUTION|CANDIDATE_GENERATION|GATE_TRUTH|MARKET_OPPORTUNITY|MARKET_DNA|STRATEGY_LAB|LEARNING|PORTFOLIO,HIGH,MEDIUM,MEDIUM,PUBLISHED,100000,HIGH,HIGH,60,false,HIGH,HIGH,HIGH,MEDIUM,MEDIUM,UNKNOWN
ownership_data,Ownership Data,OWNERSHIP,86,42,54,5,FEATURE_ATTRIBUTION|GATE_TRUTH|MARKET_DNA|LEARNING|PORTFOLIO,MEDIUM,HIGH,HIGH,QUOTE_REQUIRED,UNKNOWN,INSUFFICIENT,UNKNOWN,UNKNOWN,false,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,MEDIUM
promoter_holdings,Promoter Holdings,OWNERSHIP,86,48,46,4,FEATURE_ATTRIBUTION|GATE_TRUTH|MARKET_DNA|LEARNING,MEDIUM,MEDIUM,MEDIUM,BUNDLED,UNKNOWN,INSUFFICIENT,UNKNOWN,UNKNOWN,false,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,MEDIUM
rights,Rights,CORPORATE_ACTION,91,73,46,4,REPLAY|FEATURE_ATTRIBUTION|PERFORMANCE|LEARNING,MEDIUM,MEDIUM,MEDIUM,BUNDLED,UNKNOWN,INSUFFICIENT,UNKNOWN,UNKNOWN,false,UNKNOWN,MEDIUM,MEDIUM,UNKNOWN,UNKNOWN,UNKNOWN
risk_free_rate,Risk-free Rate,MARKET_CONTEXT,63,25,31,3,REPLAY|PERFORMANCE|PORTFOLIO,MEDIUM,LOW,LOW,NO_LICENSE_FEE_IDENTIFIED,0,MEDIUM,LOW,26,false,LOW,UNKNOWN,MEDIUM,UNKNOWN,UNKNOWN,UNKNOWN
security_master,Security Master,IDENTITY,100,80,84,7,POINT_IN_TIME_UNIVERSE|REPLAY|FEATURE_ATTRIBUTION|MARKET_OPPORTUNITY|LEARNING|PORTFOLIO|DATA_PLATFORM,HIGH,MEDIUM,MEDIUM,PUBLISHED,215000,HIGH,MEDIUM,50,false,MEDIUM,UNKNOWN,UNKNOWN,HIGH,HIGH,MEDIUM
splits,Splits,CORPORATE_ACTION,100,73,46,4,REPLAY|FEATURE_ATTRIBUTION|PERFORMANCE|LEARNING,HIGH,MEDIUM,MEDIUM,BUNDLED,UNKNOWN,INSUFFICIENT,UNKNOWN,UNKNOWN,false,HIGH,MEDIUM,MEDIUM,UNKNOWN,UNKNOWN,UNKNOWN
symbol_history,Symbol History,IDENTITY,95,73,53,4,POINT_IN_TIME_UNIVERSE|REPLAY|MARKET_OPPORTUNITY|DATA_PLATFORM,HIGH,MEDIUM,MEDIUM,BUNDLED,UNKNOWN,INSUFFICIENT,UNKNOWN,UNKNOWN,false,MEDIUM,UNKNOWN,UNKNOWN,HIGH,HIGH,UNKNOWN
trading_calendar,Official Trading Calendar,MARKET_CONTEXT,91,37,46,4,REPLAY|DATA_PLATFORM|POINT_IN_TIME_UNIVERSE|PERFORMANCE,MEDIUM,LOW,LOW,NO_LICENSE_FEE_IDENTIFIED,0,MEDIUM,MEDIUM,43,false,LOW,UNKNOWN,UNKNOWN,MEDIUM,MEDIUM,UNKNOWN
turnover_trade_count,Turnover and Trade Count,MARKET_DATA,57,42,46,4,GATE_TRUTH|PORTFOLIO|CANDIDATE_GENERATION|REPLAY,MEDIUM,MEDIUM,MEDIUM,BUNDLED,UNKNOWN,INSUFFICIENT,UNKNOWN,UNKNOWN,false,UNKNOWN,MEDIUM,LOW,UNKNOWN,UNKNOWN,LOW
