dataset_id,score,novelty_points,bias_control_points,authority_points,point_in_time_points,evidence_points,confidence,feature_gap,evidence_sources
official_bse_daily_history,85,30,16,20,9,10,HIGH,Adds BSE-only observations and an independent exchange reconciliation source.,docs/POINT_IN_TIME_FEATURE_ATTRIBUTION.md|docs/MARKET_OPPORTUNITY_TRUTH_AUDIT.md|docs/INSTITUTIONAL_GATE_TRUTH_AUDIT.md|docs/hmdpca/executive_report.md|docs/hmdpca/warehouse_impact.md
official_nse_daily_history,94,30,25,20,9,10,HIGH,Replaces provisional price-volume observations with authoritative daily truth.,docs/POINT_IN_TIME_FEATURE_ATTRIBUTION.md|docs/MARKET_OPPORTUNITY_TRUTH_AUDIT.md|docs/INSTITUTIONAL_GATE_TRUTH_AUDIT.md|docs/hmdpca/executive_report.md|docs/hmdpca/warehouse_impact.md
ownership_data,86,25,16,20,15,10,HIGH,Adds point-in-time holder composition absent from current features.,docs/POINT_IN_TIME_FEATURE_ATTRIBUTION.md|docs/MARKET_OPPORTUNITY_TRUTH_AUDIT.md|docs/INSTITUTIONAL_GATE_TRUTH_AUDIT.md|docs/hmdpca/executive_report.md|docs/hmdpca/warehouse_impact.md
promoter_holdings,86,25,16,20,15,10,HIGH,Adds point-in-time promoter holdings unavailable in the canonical feature history.,docs/POINT_IN_TIME_FEATURE_ATTRIBUTION.md|docs/MARKET_OPPORTUNITY_TRUTH_AUDIT.md|docs/INSTITUTIONAL_GATE_TRUTH_AUDIT.md|docs/hmdpca/executive_report.md|docs/hmdpca/warehouse_impact.md
rights,91,30,16,20,15,10,HIGH,Adds official rights needed for entitlement-aware return continuity.,docs/POINT_IN_TIME_FEATURE_ATTRIBUTION.md|docs/MARKET_OPPORTUNITY_TRUTH_AUDIT.md|docs/INSTITUTIONAL_GATE_TRUTH_AUDIT.md|docs/hmdpca/executive_report.md|docs/hmdpca/warehouse_impact.md
risk_free_rate,63,12,6,20,15,10,HIGH,Replaces zero-rate assumptions in risk-adjusted performance calculations.,docs/POINT_IN_TIME_FEATURE_ATTRIBUTION.md|docs/MARKET_OPPORTUNITY_TRUTH_AUDIT.md|docs/INSTITUTIONAL_GATE_TRUTH_AUDIT.md|docs/hmdpca/executive_report.md|docs/hmdpca/warehouse_impact.md
security_master,100,30,25,20,15,10,HIGH,"Creates durable security identity across symbols, listings and exchanges.",docs/POINT_IN_TIME_FEATURE_ATTRIBUTION.md|docs/MARKET_OPPORTUNITY_TRUTH_AUDIT.md|docs/INSTITUTIONAL_GATE_TRUTH_AUDIT.md|docs/hmdpca/executive_report.md|docs/hmdpca/warehouse_impact.md
splits,100,30,25,20,15,10,HIGH,Adds official splits needed for price and quantity continuity.,docs/POINT_IN_TIME_FEATURE_ATTRIBUTION.md|docs/MARKET_OPPORTUNITY_TRUTH_AUDIT.md|docs/INSTITUTIONAL_GATE_TRUTH_AUDIT.md|docs/hmdpca/executive_report.md|docs/hmdpca/warehouse_impact.md
symbol_history,95,25,25,20,15,10,HIGH,Preserve identity through ticker changes.,docs/POINT_IN_TIME_FEATURE_ATTRIBUTION.md|docs/MARKET_OPPORTUNITY_TRUTH_AUDIT.md|docs/INSTITUTIONAL_GATE_TRUTH_AUDIT.md|docs/hmdpca/executive_report.md|docs/hmdpca/warehouse_impact.md
trading_calendar,91,30,16,20,15,10,HIGH,Distinguishes missing observations from non-trading sessions.,docs/POINT_IN_TIME_FEATURE_ATTRIBUTION.md|docs/MARKET_OPPORTUNITY_TRUTH_AUDIT.md|docs/INSTITUTIONAL_GATE_TRUTH_AUDIT.md|docs/hmdpca/executive_report.md|docs/hmdpca/warehouse_impact.md
turnover_trade_count,57,12,6,20,9,10,HIGH,Adds liquidity and capacity observations beyond raw volume.,docs/POINT_IN_TIME_FEATURE_ATTRIBUTION.md|docs/MARKET_OPPORTUNITY_TRUTH_AUDIT.md|docs/INSTITUTIONAL_GATE_TRUTH_AUDIT.md|docs/hmdpca/executive_report.md|docs/hmdpca/warehouse_impact.md
