dataset_id,authority,dataset,family,availability,coverage_start,coverage_end,coverage_basis,official,public,requires_registration,paid,point_in_time_role,missing_or_unknown,source_url,verified_on
"NSE_CORPORATE_ACTIONS_DAILY","NSE","Daily Press-File Corporate Actions","CORPORATE_ACTIONS","AVAILABLE_PUBLIC_DAILY","UNKNOWN","CURRENT","NSE report description documents Bc daily corporate action file","TRUE","TRUE","FALSE","FALSE","Publication-time corporate-action evidence","Complete archive and correction history are UNKNOWN","https://www.nseindia.com/static/market-data/description-of-market-activity-reports","2026-07-19"
"NSE_PAID_CORPORATE","NSE Data & Analytics","Paid Corporate Data and EOD Corporate Announcements","CORPORATE_DISCLOSURES","AVAILABLE_LICENSED","UNKNOWN","CURRENT","Official licensed product for announcements fundamentals and shareholding","TRUE","FALSE","TRUE","TRUE","Bulk official issuer-event evidence","Backfill depth action normalization and retention rights require contract","https://www.nseindia.com/static/market-data/corporate-data-subscription","2026-07-19"
"NSE_TRADING_CALENDAR","NSE","Market Timings Holidays and Special Sessions","TRADING_CALENDAR","AVAILABLE_PUBLIC_ANNUAL","UNKNOWN","CURRENT","Official annual holiday pages and circulars","TRUE","TRUE","FALSE","FALSE","Session calendar and exception evidence","Earliest complete machine-readable annual archive is UNKNOWN","https://www.nseindia.com/resources/exchange-communication-holidays","2026-07-19"
"NSE_INDEX_LEVELS","NSE Indices","Historical Index Data","INDEX_LEVELS","AVAILABLE_PUBLIC_ARCHIVE_INTERFACE","1995-11-03_FOR_NIFTY50_BASE","CURRENT","Nifty 50 official base date; other index starts vary","TRUE","TRUE","FALSE","FALSE","Official benchmark price series","Dataset-specific earliest dates and revision policy must be inventoried","https://www.niftyindices.com/reports/historical-data","2026-07-19"
"NSE_INDEX_CONSTITUENTS_HISTORY","NSE Indices","Ongoing and Historical Index Constituent Data","INDEX_MEMBERSHIP","AVAILABLE_LICENSED","UNKNOWN","CURRENT","Official subscription page offers historical constituents identifiers weights prices and capitalization","TRUE","FALSE","TRUE","TRUE","Authoritative Nifty 50 100 200 and 500 membership","Earliest snapshots delisted-member handling and correction policy require contract","https://www.niftyindices.com/offerings/data-subscription","2026-07-19"
"NSE_INDEX_REBALANCE_RELEASES","NSE Indices","Index Reconstitution Press Releases","INDEX_MEMBERSHIP_EVENTS","AVAILABLE_PUBLIC_ARCHIVE","AT_LEAST_2011_OBSERVED","CURRENT","Official media archive includes historical change releases","TRUE","TRUE","FALSE","FALSE","Event reconstruction and licensed-history cross-check","Exhaustiveness effective timestamps and every ad hoc event are UNKNOWN","https://www.niftyindices.com/media","2026-07-19"
"NSE_INDEX_CURRENT_CONSTITUENTS","NSE Indices","Current Index Constituent Downloads","INDEX_MEMBERSHIP","AVAILABLE_PUBLIC_CURRENT","CURRENT_ONLY","CURRENT","Current files available on index pages","TRUE","TRUE","FALSE","FALSE","Current-state verification only","Never valid as historical membership","https://www.niftyindices.com/indices/equity/broad-based-indices/nifty-500","2026-07-19"
"NSE_INDUSTRY_CLASSIFICATION","NSE Indices","Industry Classification","SECTOR_CLASSIFICATION","AVAILABLE_PUBLIC_CURRENT_TAXONOMY","CURRENT_ONLY","CURRENT","Official four-tier current classification methodology","TRUE","TRUE","FALSE","FALSE","Taxonomy and current classification","Effective-dated historical company assignments are UNKNOWN","https://www.nseindia.com/static/products-services/industry-classification","2026-07-19"
"BSE_STOCK_PRICE_HISTORY","BSE","Stock Prices","DAILY_OHLCV_DELIVERY","AVAILABLE_PUBLIC_ARCHIVE_INTERFACE","UNKNOWN","CURRENT","Official daily monthly yearly interface includes OHLC WAP shares trades turnover and delivery","TRUE","TRUE","FALSE","FALSE","Official BSE venue observation","Guaranteed earliest bulk history revisions and automated retention rights are UNKNOWN","https://www.bseindia.com/markets/equity/EQReports/StockPrcHistori.aspx?flag=sp","2026-07-19"
"BSE_MARKET_DATA","BSE","Self Data Feed Equity and Corporate Data","MARKET_AND_CORPORATE_DATA","AVAILABLE_LICENSED","UNKNOWN","CURRENT","Official registration pricing agreement and trial workflow","TRUE","FALSE","TRUE","TRUE","Bulk official BSE source if licensed","Historical backfill exact fields correction SLA and rights require agreement","https://marketdata.bseindia.com/","2026-07-19"
"BSE_SECURITY_MASTER","BSE","Standardized Security Master","SECURITY_MASTER","AVAILABLE_MEMBER_OR_LICENSED","UNKNOWN","CURRENT","Official format includes scrip code symbol group name ISIN and security type","TRUE","UNKNOWN","TRUE","UNKNOWN","BSE venue identity and instrument type","Historical snapshots inactive securities and access terms are UNKNOWN","https://www.bseindia.com/markets/MarketInfo/DownloadAttach.aspx?attachedId=e99e2ca5-95d7-4173-83da-7774412bbb2d&id=20220531-44","2026-07-19"
"BSE_CORPORATE_ACTIONS","BSE","Corporate Actions","CORPORATE_ACTIONS","AVAILABLE_PUBLIC_ARCHIVE_INTERFACE","UNKNOWN","CURRENT","Official date-filtered table and CSV","TRUE","TRUE","FALSE","FALSE","BSE action and cross-exchange confirmation evidence","Earliest complete history normalized ratios and revisions are UNKNOWN","https://www.bseindia.com/corporates/corporates_act.html","2026-07-19"
"BSE_NOTICES_IDENTITY","BSE","Notices and Circulars for Identity and Corporate Events","IDENTITY_AND_ACTION_EVENTS","AVAILABLE_PUBLIC_ARCHIVE","UNKNOWN","CURRENT","Official dated notices include symbol name ISIN split merger listing and delisting changes","TRUE","TRUE","FALSE","FALSE","Complex action and identity lineage evidence","Bulk completeness taxonomy and machine delivery are UNKNOWN","https://www.bseindia.com/markets/MarketInfo/NoticesCirculars.aspx","2026-07-19"
"BSE_LISTING_HISTORY","BSE","Listings Suspensions Relistings and Delistings","LISTING_HISTORY","MISSING_COMPLETE_DATASET","UNKNOWN","CURRENT","Individual notices and current pages exist","TRUE","PARTIAL","UNKNOWN","UNKNOWN","Required point-in-time tradability evidence","No single complete effective-dated official dataset was identified","https://www.bseindia.com/markets/MarketInfo/NoticesCirculars.aspx","2026-07-19"
"BSE_TRADING_CALENDAR","BSE","Trading Holiday Notices","TRADING_CALENDAR","AVAILABLE_PUBLIC_ANNUAL","UNKNOWN","CURRENT","Official annual notices are published","TRUE","TRUE","FALSE","FALSE","BSE session calendar and exceptions","Earliest complete machine-readable archive is UNKNOWN","https://www.bseindia.com/markets/MarketInfo/NoticesCirculars.aspx","2026-07-19"
"BSE_INDEX_HISTORY","BSE Index Services","Index Levels Constituents and Changes","INDEX_DATA","PARTIAL_PUBLIC_AND_LICENSED","UNKNOWN","CURRENT","Current constituents historical values methodology and dated change notices exist","TRUE","PARTIAL","UNKNOWN","UNKNOWN","BSE benchmark evidence","Complete historical constituent snapshots and exact access terms are UNKNOWN","https://www.bseindia.com/sensex/code/93/1000","2026-07-19"
"NSDL_ISIN_MASTER","NSDL","ISIN Master","DEPOSITORY_IDENTITY","AVAILABLE_PARTICIPANT_INTERFACE","UNKNOWN","CURRENT","Official full and incremental file format exists","TRUE","FALSE","TRUE","UNKNOWN","Depository-authoritative ISIN state","Public bulk access historical snapshots and retention rights are UNKNOWN","https://nsdl.co.in/downloadables/pdf/2024-0112-Policy-Standardization_of_File_Formats.pdf","2026-07-19"
"NSDL_CORPORATE_ACTION_MASTER","NSDL","Corporate Action Master","DEPOSITORY_CORPORATE_ACTIONS","AVAILABLE_PARTICIPANT_INTERFACE","UNKNOWN","CURRENT","Official standardization circular lists Corporate Action Master","TRUE","FALSE","TRUE","UNKNOWN","Depository action settlement evidence","Historical depth access rights and exchange linkage are UNKNOWN","https://nsdl.co.in/downloadables/pdf/2024-0112-Policy-Standardization_of_File_Formats.pdf","2026-07-19"
"CDSL_ISIN_MASTER","CDSL","ISIN Master","DEPOSITORY_IDENTITY","AVAILABLE_PARTICIPANT_INTERFACE","CURRENT_ONLY","CURRENT","CDSL describes current admitted ISIN details","TRUE","FALSE","TRUE","UNKNOWN","Current cross-depository identity verification","Historical snapshots and inactive lineage are UNKNOWN","https://www.cdslindia.com/DP/Harmonization.html","2026-07-19"
"CDSL_CORPORATE_ACTION_MASTER","CDSL","Corporate Action Master","DEPOSITORY_CORPORATE_ACTIONS","AVAILABLE_PARTICIPANT_INTERFACE","UNKNOWN","CURRENT","CDSL documents RTA-created corporate action master","TRUE","FALSE","TRUE","UNKNOWN","Depository corporate-action evidence","Historical coverage access rights and correction policy are UNKNOWN","https://www.cdslindia.com/DP/Harmonization.html","2026-07-19"
"SEBI_CORPORATE_FILINGS_CURATION","SEBI","Corporate Filings Curation","REGULATORY_DISCLOSURE_INDEX","AVAILABLE_PUBLIC_CURRENT_LINK_INDEX","UNKNOWN","CURRENT","Official SEBI page links NSE and BSE filing categories","TRUE","TRUE","FALSE","FALSE","Regulatory discovery and completeness cross-check","Not a normalized historical market-data feed","https://www.sebi.gov.in/curation/corporate_filings.html","2026-07-19"
"SEBI_EQUITY_CASH_CURATION","SEBI","Equity Cash Market Curation","REGULATORY_MARKET_INDEX","UNKNOWN_FULL_HISTORY","UNKNOWN","CURRENT","Official curation page maps selected NSE and BSE reports","TRUE","TRUE","FALSE","FALSE","Source discovery and regulatory context","Coverage is link-level and not a canonical data feed","https://www.sebi.gov.in/curation/equity_cash_market.html","2026-07-19"
